排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
454,1616,億泰,23.6,2025,52.1,+13.4,7.83,+57.2,2.94,-24.2,15,+4.2,5.64,-2.79,1.55,-0.49,13.3,-5.68,6.79,-3.24,43
455,2414,精技,45.35,2025,284,+18.2,22.5,+11.3,5.13,+18.7,7.94,-0.49,2.02,-0.01,3.17,+0.5,13.3,+1.61,5.71,+0.25,34
456,6910,德鴻,29.3,2025,3.85,+30.1,2.11,+21.6,0.54,+80.4,54.9,-3.84,14.1,+3.93,2,+0.88,13.3,+4.4,10.4,+3.64,70
457,6192,巨路,125,2025,73.6,-6.01,24.1,+3.58,9.67,-4.04,32.8,+3.04,13.2,+0.29,10.06,-0.42,13.3,-1.61,8.22,-0.79,57
458,6526,達發,505,2025,209,+9.43,109,+8.6,29,+7.76,51.9,-0.4,13.5,-0.15,17.32,+1.22,13.3,-0.7,10.2,-0.86,72
459,6005,群益證,28.2,2025,192,+12.1,135,+15.5,57.4,+17.4,70.4,+2.03,32.9,+1.39,2.64,+0.39,13.2,+1.06,1.9,-0.05,59
460,2488,漢平,52.4,2025,28.8,-9.29,6.61,-14.6,3.65,-13,22.9,-1.42,12.6,-0.54,4.56,-0.68,13.2,-2.95,9.49,-1.94,62
461,8936,國統,49.9,2025,63.1,+20.3,16.4,+22.1,10.1,+21,26,+0.39,17.2,-0.1,4.08,+0.71,13.1,+1.32,7.92,+0.71,53
462,1535,中宇,51.8,2025,114,+4.67,10.7,+6.36,4.95,-1.32,9.46,+0.15,4.36,-0.26,4,-0.06,13.1,-0.46,6.87,-0.3,49
463,6275,元山,55.1,2025,42.8,+10.8,7.87,+13.1,2.22,+0.32,18.4,+0.37,5.14,-0.57,2.81,-0.06,13.1,-0.7,5.84,-0.45,43
464,4527,方土霖,43.6,2025,30.7,-15.9,8.08,-11,2.59,-19.1,26.3,+1.45,8.1,-0.62,3.4,-0.8,13.1,-4.37,7.25,-1.69,49
465,2884,玉山金,32.85,2025,917,+20.4,,,343,+31.4,,,37.5,+3.14,2.12,+0.49,13.1,+2.38,0.8,+0.12,62
466,8930,青鋼,30.1,2025,14.2,-7.81,3.83,-5.93,1.96,-20.4,26.9,+0.54,13.8,-2.17,2.4,-0.61,13,-3.16,9.27,-1.75,64
467,4915,致伸,74.1,2025,602,+3.33,104,+5.47,26.3,+2.73,17.3,+0.35,4.36,-0.32,5.71,+0.1,13,-0.99,5.18,-0.46,45
468,2211,長榮鋼,100.5,2025,153,+18.6,42.4,+22.1,35.9,+40.5,27.7,+0.78,26.6,+4.12,8.6,+2.48,13,+3.25,10.2,+2.59,62
469,6016,康和證,17.75,2025,40,+1.59,32.6,+1.57,13.6,+24.7,81.4,-0.02,34.2,+6.3,1.98,+0.23,13,+1.24,2.79,+0.21,57
470,4126,太醫,80.2,2025,24.1,+2.59,7.39,-1.07,3.83,-14.5,30.7,-1.13,15.9,-3.18,5.27,-0.9,13,-2.55,9.82,-1.89,70
471,3310,佳穎,71,2025,26.7,+84.9,6.31,+82.8,2.42,+60.3,23.6,-0.27,8.74,-1.22,3.39,+0.89,12.9,+4.52,3.55,+1.42,43
472,5213,亞昕,26.55,2025,180,+108,49.4,+87.4,21.4,+127,27.4,-2.94,11.7,+0.74,3.06,+1.41,12.9,+5.88,2.95,+1.42,40
473,6887,寶綠特-KY,40.3,2025,47.9,-12,11,-5.96,3.33,-32.1,22.9,+1.48,6.94,-2.05,4.58,-2.93,12.9,-10.6,7.5,-4.19,52
474,2855,統一證,33,2025,135,+3.92,107,+3.11,48,+9.86,79.4,-0.63,35.6,+1.97,3,0,12.9,-0.1,2.18,-0.45,57
475,3209,全科,48.5,2025,474,+3.25,24.9,+7.99,7.08,+0.81,5.25,+0.23,1.49,-0.17,3.02,0,12.9,-1.73,4.01,-0.12,38
476,3169,亞信,96.2,2025,9.3,+9.02,4.95,+13.5,2.32,+7.46,53.2,+2.11,24.9,-0.36,3.67,+0.25,12.9,+0.6,11.7,+0.62,83
477,2496,卓越,65.8,2025,8.71,+4.19,4.66,+2.1,1.17,-12.2,53.5,-1.09,13.2,-2.63,6.12,-0.9,12.8,-2.26,7.89,-1.59,64
478,6751,智聯服務,50,2025,17.6,-2.45,2.48,+6.31,1.16,+525,14.1,+1.16,8,+6.71,5.2,+4.37,12.8,+10.9,8.63,+7.37,47
479,6021,美好證,28.95,2025,21.7,+35.1,18.8,+33.3,11.6,+162,86.8,-1.23,53.5,+25.9,3.76,+2.32,12.8,+6.54,4.13,+1.85,64
480,3622,洋華,56.3,2025,17.3,+9.4,7.66,+5.84,9.22,+27.9,44.4,-1.49,56.2,+7.4,6.09,+1.33,12.8,+1.74,11.6,+1.59,79
481,1618,合機,38.75,2025,48.2,+3.01,9.11,+0.62,8.1,+13.4,18.9,-0.45,16.8,+1.54,4.21,+0.5,12.8,-0.06,10,-0.27,53
482,1712,興農,42.75,2025,186,-1.68,56.7,+1.95,10.9,+4.23,30.5,+1.08,5.91,+0.33,2.6,+0.1,12.8,+0.46,7.14,+0.28,51
483,6191,精成科,114.5,2025,337,+55.5,64.9,+14.8,31.5,+10.7,19.3,-6.82,9.35,-3.72,6.55,+0.54,12.8,-0.23,6.2,-1.04,49
484,6771,平和環保-創,45.5,2025,6.18,-2.67,2.9,-1,1.13,-4.17,46.9,+0.79,18.2,-0.14,3.64,-0.25,12.8,-1.74,8.23,-0.61,70
485,4933,友輝,60.5,2025,30.1,+2.41,9.6,+6.76,4.73,-17.9,31.9,+1.3,15.7,-3.88,5.77,-1.3,12.7,-3.5,9.83,-2.72,66
486,1785,光洋科,153.5,2025,394,+32.4,57.4,+50.5,18.7,-1.89,14.6,+1.76,4.72,-1.66,3.14,-0.07,12.7,-1.24,5.66,-0.92,40
487,9937,全國,57.6,2025,225,-6.2,27.6,-0.38,7.3,-1.09,12.2,+0.72,3.24,+0.17,2.36,-0.03,12.7,-0.46,5.96,+0.03,45
488,6281,全國電,52.7,2025,188,-4.85,37.6,-5.76,3.67,-18.1,20,-0.19,1.95,-0.32,3.7,-0.81,12.7,-2.9,3.99,-0.86,43
489,8102,傑霖科技,74.5,2025,4.35,-23.3,1.7,-36.2,0.48,-59,39,-7.84,11.1,-9.65,2.25,-3.25,12.6,-24.6,9.79,-18.1,59
490,2356,英業達,46.6,2025,"6,912",+6.95,367,+10.1,87,+19.7,5.31,+0.15,1.34,+0.22,2.42,+0.39,12.6,+1.53,2.78,+0.26,36
491,6470,宇智,47.7,2025,19.5,-0.56,3.53,+8.08,1.46,+7.49,18,+1.44,7.46,+0.56,3.87,+0.27,12.6,+0.41,8.23,+0.41,49
492,6913,鴻呈,127.5,2025,26.3,+21.7,7.14,+20.5,1.9,+2.14,27.1,-0.27,7.74,-1.38,4.34,-0.44,12.6,-2.28,7.68,-1.55,45
493,8481,政伸,42,2025,11.8,+4.91,5.58,+8.69,2.16,+7.79,47.3,+1.65,18.3,+0.49,3.25,+0.24,12.6,+0.35,11.2,+0.36,75
494,1423,利華,41,2025,0.85,-18.2,-0.12,+58.4,4.34,+437,-13.5,+13.1,508,+431,4.36,+3.55,12.6,+9.92,11.8,+9.32,60
495,2020,美亞,23.05,2025,47.4,-9.51,8.84,+10.9,5.68,-31.2,18.6,+3.43,12,-3.79,2.13,-0.96,12.5,-6.56,6.54,-3.95,40
496,6214,精誠,126.5,2025,440,+12.9,96.4,+16.8,21.5,+9.8,21.9,+0.74,5.29,+0.08,7.91,+0.25,12.4,+0.17,6.39,+0.17,49
497,3702,大聯大,100.5,2025,"9,991",+13.5,395,+26.3,101,+39.5,3.96,+0.4,1.06,+0.21,5.77,+1.7,12.4,+3.66,2.58,+0.52,30
498,3090,日電貿,109,2025,157,+29.5,25.9,+32.8,12.5,+32.3,16.4,+0.4,8.11,+0.16,5.48,+0.96,12.4,-2.5,8.21,-1.31,45
499,2329,華泰,62.2,2025,197,+20.9,29.6,+20.2,14.1,+14.8,15.1,-0.09,7.17,-0.38,2.45,+0.74,12.4,+1.66,7.01,+0.54,47
500,6294,智基,39.1,2025,9.73,-7.81,3.35,+5.78,0.72,+63.9,34.5,+4.43,7.43,+3.25,2.78,+0.99,12.4,+5.75,5.15,+2.12,55
501,7728,光焱科技,800,2025,3.57,-6.16,2.35,-4.1,0.67,-38.2,65.9,+1.41,18.8,-9.73,4.92,-3.87,12.4,-23,9.77,-11.4,73
502,3019,亞光,130,2025,264,+14.7,49.7,+16,18.4,+14.1,18.8,+0.21,8.13,-0.67,6.6,+0.81,12.4,-0.24,8.09,-0.6,51
503,3379,彬台,37.8,2025,19.8,+82.3,2.61,+33.7,0.81,+94.5,13.2,-4.8,4.08,+0.26,2.12,+1.03,12.4,+5.61,5.5,+2.63,53
504,4111,濟生,29.3,2025,13.8,+18.1,5.44,+36.9,1.64,+48.5,39.5,+5.42,11.9,+2.44,2.75,+0.81,12.4,+3.5,8.91,+2.62,64
505,3213,茂訊,107.5,2025,28.9,+1.19,8.81,-1.85,4.34,-12.3,30.5,-0.94,15.2,-2.44,7.4,-1.04,12.4,-4.84,9.63,-3.41,64
506,6655,科定,138,2025,26,+3.86,13,-0.31,3.08,-20.4,49.9,-2.08,11.9,-3.49,3.92,-1.01,12.4,-3.53,3.6,-1.48,47
507,6556,勝品,68.9,2025,13.9,-17.6,4.59,-25.3,1.95,-23.3,32.9,-3.41,14.1,-1.38,6.79,-2.06,12.4,-5.52,9.27,-3.21,64
508,5493,三聯,84.8,2025,54.5,+21,6.71,+8.47,1.82,-0.47,12.3,-1.43,7.28,-0.49,4.18,-0.02,12.3,+0.47,6.79,+0.27,45
509,3679,新至陞,122,2025,44.7,+4.97,14.7,+12,6.15,-29.2,33,+2.08,13.8,-6.64,9.78,-4.07,12.3,-6.08,6.81,-3.15,62
510,2881,富邦金,87.2,2025,"3,813",+9.74,,,"1,209",-19.8,,,31.7,-11.7,8.37,-2.4,12.3,-4.61,0.97,-0.33,76
511,3357,臺慶科,182.5,2025,66.2,+20.3,17.4,+31,10.6,+41.1,26.3,+2.14,15.7,+2.17,10.26,+2.93,12.3,+1.86,7.9,+1.44,60
512,4966,譜瑞-KY,532,2025,165,+1.76,70.3,+1.91,27.3,+5.19,42.6,+0.06,16.5,+0.54,34.51,+1.96,12.3,-0.08,10.5,0,66
513,1210,大成,55,2025,"1,012",-1.49,149,+0.43,36.2,+2.69,14.7,+0.28,4.24,-0.06,4.33,+0.12,12.3,-1.06,5.84,-0.68,47
514,6417,韋僑,126,2025,16.1,+7.83,5.05,+16.1,2.04,+10.9,31.4,+2.24,12.7,+0.36,4.83,+0.48,12.2,+0.46,7.19,+0.51,60
515,3036,文曄,217,2025,"11,779",+22.8,476,+26.7,135,+48.6,4.04,+0.12,1.15,+0.19,11.61,+3.48,12.2,+1.76,2.89,+0.17,30
516,6123,上奇,42.3,2025,50.6,-8.67,7.04,-13.1,1.68,-25.7,13.9,-0.71,5.06,-0.46,2.73,-0.92,12.2,-4.56,6.71,-2.03,53
517,6189,豐藝,47.3,2025,297,-21.8,26.2,-16,7.19,-48.6,8.81,+0.61,2.81,-1.23,2.73,-3.73,12.2,-11.9,5.14,-3.87,38
518,5490,同亨,26.5,2025,15.4,+12,6.69,+42,1.58,+380,43.5,+9.18,10.3,+7.88,1.69,+1.34,12.2,+9.48,8.43,+6.71,57
519,8938,明安,62.4,2025,154,+8.55,24,+7.66,9.49,-8.94,15.6,-0.13,6.16,-1.94,6.18,-1.33,12.2,-4.12,6.37,-1.71,45
520,6720,久昌,163.5,2025,4.36,-14.5,2.43,-15.8,1.17,-22.3,55.8,-0.85,26.7,-2.68,3.89,-2.71,12.2,-11.1,10.3,-8.27,79
521,3693,營邦,728,2025,75.2,-12,21.6,-19.9,6.66,-38.7,28.8,-2.86,8.37,-4.36,15.5,-11.8,12.2,-15.4,7.97,-6.58,52
522,1788,杏昌,136.5,2025,42.8,+5.04,11.4,+6.82,3.69,+2.45,26.7,+0.44,8.61,-0.22,8.28,+0.2,12.2,+0.16,7.34,-0.17,49
523,6266,泰詠,28.05,2025,34,+4,5.75,-6.84,3.07,-19.2,16.9,-1.97,9.04,-2.6,2,-0.62,12.1,-3.69,8.61,-2.41,53
524,9958,世紀鋼,108.5,2025,145,+15.9,42.4,+20.5,16.5,-6.22,29.3,+1.1,18.4,-0.54,6.57,-0.36,12.1,-0.93,6.39,+0.25,62
525,6278,台表科,158.5,2025,499,+10.1,63.9,+5.53,27.5,-5.52,12.8,-0.56,5.51,-0.92,9.39,-0.55,12.1,-1.67,5.29,-0.48,47
526,5007,三星,58,2025,62.2,-8.86,14.8,-15.7,8.91,-15.7,23.9,-1.94,14.6,-1.03,3.02,-0.56,12,-2.33,10.3,-1.78,68
527,5432,新門,132,2025,1.99,+6.1,0.54,+28.5,0.47,+68.5,27.3,+4.75,23.9,+8.85,2.3,+0.94,12,+4.74,10.7,+4.07,70
528,5522,遠雄,69.1,2025,312,+39.1,106,+50.1,58.3,+72.7,34.2,+2.5,18.7,+3.64,7.45,+3.13,12,+4.68,5.48,+2.1,51
529,6776,展碁國際,58.9,2025,293,+14.8,17.5,+4.98,3.46,+3.24,5.97,-0.56,1.12,-0.25,4.2,+0.09,12,-2.48,3.21,-1.13,28
530,5478,智冠,99.3,2025,65.2,-3.78,34.8,-3.24,11.9,+4.28,53.4,+0.29,19.5,+1.19,7.93,+0.18,12,-0.94,6.48,-0.32,62
531,8341,日友,75,2025,39.9,+7.95,17.2,+10,5.83,+21.4,43.2,+0.82,17.2,+2.15,4.48,+0.79,12,+1.79,6.67,+1.34,64
532,3028,增你強,61.3,2025,415,+13.8,30.3,+33.2,7.48,+52.8,7.31,+1.07,1.8,+0.46,3.15,+1.07,11.9,+3.77,3.45,+1.06,30
533,9945,潤泰新,24.6,2025,393,+23.6,94.5,+9.75,107,-35.2,24.1,-3.02,33.6,-29,3.93,-2.14,11.9,-6.72,6.77,-3.97,53
534,6235,華孚,46.4,2025,66.3,+13.7,17.3,+6.03,5.8,-2.34,26.2,-1.89,8.75,-1.44,2.9,-0.16,11.9,-1.72,5.82,-0.82,45
535,7791,皇家可口,66.1,2025,25.8,-3.39,8.9,-8.25,4.03,+6.82,34.5,-1.83,15.7,+1.53,5.61,+0.27,11.9,+0.25,9.95,+0.51,66
536,8436,大江,122,2025,69.9,-3.47,30.8,-3.04,9.55,+12.2,44.1,+0.2,15.9,+2.4,8.68,+1.08,11.9,+1.83,7.78,+0.78,68
537,6967,汎瑋材料,73.2,2025,14.2,+5.45,3.71,+21.6,0.99,+26.4,26.2,+3.49,6.98,+1.16,4.02,+0.65,11.9,+1.68,7.99,+1.33,53
538,6961,旅天下,57.6,2025,41.3,-8.56,6.13,+1.15,1,+16.4,14.8,+1.42,2.44,+0.6,4.23,+0.6,11.9,+2.1,8.37,+1.2,60
539,6829,千附精密,216.5,2025,18.2,+19.9,4.96,-7.15,2.34,-30.2,27.2,-7.92,12.8,-9.22,3.95,-1.71,11.9,-5.56,8.08,-5.38,50
540,5457,宣德,39.45,2025,244,+7.36,43.3,+15.1,4.8,+20.8,17.8,+1.19,5.53,+0.16,2.77,+0.47,11.8,+0.35,4.47,-0.15,45
541,2603,長榮,197,2025,"3,791",-18.2,927,-47.4,686,-50.8,24.5,-13.5,18.5,-12.5,31.68,-33.19,11.8,-15,7.77,-9.73,62
542,6895,宏碩系統,184.5,2025,8.51,+106,2.62,+40,1.23,+41.9,30.7,-14.4,14.5,-6.5,3.61,+1.06,11.8,+3.26,9.7,+2.05,60
543,4207,環泰,17.65,2025,51.6,-8.35,10.1,+29.4,3.49,+61.8,19.5,+5.7,9.11,+3.84,1.76,+0.67,11.8,+3.56,7.53,+2.54,47
544,2497,怡利電,56.4,2025,44.7,-3.38,11.4,-4.54,2.87,-24.3,25.6,-0.31,6.43,-1.78,2.37,-0.72,11.8,-4.35,6.34,-1.99,49
545,6176,瑞儀,91.3,2025,488,-5.52,104,-2.41,43.4,-40.2,21.4,+0.68,8.9,-5.17,9.4,-6.23,11.8,-8.36,6.54,-5.05,57
546,8261,富鼎,126,2025,31,+6.37,11.6,+39.2,6.79,+20.1,37.4,+8.81,21.9,+2.51,5.73,+0.93,11.8,+1.42,10.6,+1.22,72
547,8279,生展,106,2025,21.4,+6.1,7.24,-0.05,2.72,+13.1,33.9,-2.08,12.7,+0.78,10.02,+1.16,11.8,+0.79,8.86,+1.1,57
548,7718,友鋮,49.5,2025,24.4,+1.44,4.27,-11.9,1.69,-32,17.5,-2.64,6.91,-3.41,3.75,-2.33,11.8,-8.04,8.38,-4.24,52
549,7715,裕山,28.8,2025,12.4,-27.8,2.64,-27.5,1.02,-30.8,21.3,+0.07,8.22,-0.36,3.09,-1.97,11.8,-8.09,6.17,-1.48,55
550,3265,台星科,171.5,2025,46.5,+11.5,12.2,+13.2,7.47,-12,26.3,+0.39,16.1,-4.3,5.48,-0.75,11.7,-2,8.83,-2.23,62
551,2010,春源,24.8,2025,242,+0.73,26.6,+28.5,15.1,+40.8,11,+2.38,6.29,+1.77,2.32,+0.67,11.7,+2.93,6.53,+1.44,43
552,2615,萬海,73.7,2025,"1,404",-13.3,395,-30,315,-33.6,28.2,-6.74,22.4,-6.88,11.21,-5.68,11.7,-8.55,7.67,-5.08,68
553,3592,瑞鼎,237,2025,224,-8.12,63.9,-12.7,13.8,-34.1,28.5,-1.48,6.18,-2.43,18.24,-9.43,11.7,-6.29,6.9,-3.61,53
554,6510,精測,3810,2025,48.1,+33.3,26.7,+38.5,9.97,+95.6,55.5,+2.06,20.5,+7.07,30.41,+14.86,11.7,+5.51,10.3,+4.76,81
555,2882,國泰金,74.6,2025,"3,504",-2.04,,,"1,071",-2.84,,,30.7,-0.38,7.06,-0.23,11.7,-1.33,0.77,-0.07,71
556,6573,虹揚-KY,12.35,2025,8.33,-13.4,0.95,+194,0.99,+163,11.4,+8.01,11.9,+19.9,1.23,+3.17,11.7,+20.7,5.16,+8.94,47
557,6201,亞弘電,52.1,2025,33.3,+0.26,7.85,-8.24,3.31,-20.7,23.6,-2.19,9.95,-2.64,3.71,-0.97,11.7,-3.21,9.09,-2.19,57
558,5278,尚凡*,23.35,2025,26.3,+18.3,14.8,+23.2,3.14,+56.2,56.2,+2.26,13.9,+4.76,1.05,+0.38,11.6,-23.2,7.38,-3.62,70
559,3711,日月光投控,461.5,2025,"6,454",+8.39,"1,142",+17.8,407,+25.2,17.7,+1.41,6.48,+0.79,9.37,+1.85,11.6,+1.42,5.13,+0.31,49
560,5315,光聯,23.25,2025,20,+28.8,3,+18,2.02,+57.6,15,-1.37,10.1,+1.85,1.9,+0.69,11.6,+3.78,9.32,+2.96,60
561,6884,海柏特,35.2,2025,12.1,+1.55,2.51,+11.6,0.33,+0.99,20.7,+1.87,2.77,-0.02,2.05,+0.01,11.6,-3.26,4.9,-1.2,49
562,6605,帝寶,129,2025,194,-3.69,61.2,-10.9,23.2,-26.4,31.5,-2.56,12,-3.7,13.97,-5.01,11.6,-5.42,7.05,-2.68,53
563,7736,虎山,79,2025,16.6,+22.4,5.04,-5.64,3.74,-24.2,30.3,-9,22.5,-13.8,5.04,-2.15,11.6,-7.04,9.66,-4.16,70
564,6161,捷波,42.15,2025,14.1,+12.4,4.67,-12.2,1.53,-20.4,33.2,-9.28,10.9,-4.46,2.72,-0.13,11.6,-2.19,9.27,-1.8,62
565,2880,華南金,35.9,2025,695,+4.06,,,264,+14.2,,,38,+3.38,1.9,+0.22,11.6,+0.77,0.62,+0.05,62
566,4554,橙的,29.5,2025,4.93,+21.3,2.22,+21.9,0.56,+28.5,45.1,+0.24,11.3,+0.64,2.12,+0.25,11.6,+1.87,7.58,+0.99,57
567,4994,傳奇,100.5,2025,11.9,-25.2,7.91,-24.3,1.3,-59.1,66.7,+0.81,11,-9.1,1.96,-2.82,11.6,-15,8.42,-10.9,64
568,9926,新海,49.95,2025,24.7,+5.91,6.47,+2.64,4.82,+1.55,26.2,-0.83,19.5,-0.84,2.68,+0.04,11.6,-0.29,5.5,-0.09,51
569,2890,永豐金,32.2,2025,744,+15.5,,,266,+19.5,,,36,+1.47,1.97,+0.22,11.5,+0.26,0.79,+0.03,62
570,6026,福邦證,14.8,2025,11.4,-0.65,10.6,-1.32,6.83,+56,92.3,-0.63,59.7,+21.7,1.72,+0.61,11.5,+3.87,5.01,+1.56,68
571,1817,凱撒衛,38.75,2025,26.2,-6.17,9.64,-2.56,2.62,-16.8,36.8,+1.36,10.1,-1.44,3.61,-0.76,11.5,-3.31,9.12,-2.45,62
572,2013,中鋼構,44.1,2025,209,+6.36,9.85,-7.08,6.38,+18.3,4.7,-0.68,3.05,+0.31,3.19,+0.49,11.5,+1.53,4.29,+0.6,38
573,9943,好樂迪,56.8,2025,24.1,-7.26,12.2,-9.88,4.57,-30.2,50.4,-1.46,19.1,-6.32,5.4,-2.34,11.5,-4.74,8.27,-3.26,62
574,8926,台汽電,46.2,2025,76.1,-16.7,11.2,+37.4,17.9,+32.5,14.7,+5.78,23.5,+8.74,2.45,+0.6,11.5,+2.78,6.16,+1.12,49
575,3008,大立光,2710,2025,611,+2.84,308,-1.19,213,-17.9,50.4,-2.06,35.3,-8.82,159.41,-34.76,11.5,-3.48,9.86,-2.87,85
576,8034,榮群,25.8,2025,4.89,+15.1,2.25,+18.7,0.8,+32.6,46,+1.37,16.4,+2.15,1.42,+0.42,11.4,+3,9.7,+2.73,74
577,9941,裕融,78,2025,395,-4.66,174,-13.6,46.5,-8.78,44,-4.55,11.6,-0.7,7.68,-1.2,11.4,-1.52,1.59,-0.13,49
578,2476,鉅祥,121.5,2025,74.5,+12.7,22.8,+6.09,9.29,-12.8,30.6,-1.9,14.1,-4.06,4.36,-0.82,11.4,-3.97,8.26,-2.59,66
579,1475,業旺,28.3,2025,14.7,-25.1,3.27,-40.4,1.8,-62.3,22.2,-5.68,12.2,-12.1,2.72,-4.5,11.4,-21.9,7.64,-16.1,55
580,2729,瓦城,171,2025,61,+0.46,31.1,-0.21,2.89,-18,50.9,-0.34,4.7,-0.98,6.76,-2.25,11.3,-1.97,4.79,-1.52,53
581,2247,汎德永業,230.5,2025,514,-10.7,57.5,-10.2,14.8,-23.4,11.2,+0.06,2.87,-0.48,18.32,-5.61,11.3,-3.48,6.59,-1.93,49
582,3512,皇龍,22,2025,14.3,+62.9,5.02,+121,2.68,+389,35,+9.21,18.7,+12.5,2.44,+1.86,11.3,+8.58,5.11,+4.01,55
583,8924,大田,68.6,2025,46.3,-0.11,8.55,+15.8,4.72,-0.45,18.5,+2.53,10.2,-0.03,5.63,-0.03,11.3,-0.54,8.45,-0.52,57
584,2317,鴻海,207.5,2025,"81,031",+18.1,"4,982",+16.1,"1,894",+24,6.15,-0.11,2.65,+0.15,13.61,+2.6,11.3,+1.55,4.53,+0.41,40
585,8432,東生華,51,2025,13.4,+19.8,6.81,+16.8,1.39,+23.1,50.9,-1.3,14.1,+2.03,3.63,+0.68,11.2,+1.96,9.9,+1.63,70
586,6861,睿生光電,177.5,2025,22.9,+15.3,5.94,+7.64,1.6,+4.3,25.9,-1.84,6.95,-0.73,3.84,+0.09,11.2,-0.23,6.44,-0.15,47
587,5306,桂盟,84.3,2025,46.8,-5.68,20.7,-0.22,9.65,+5.29,44.2,+2.42,20.6,+2.15,7.66,+0.39,11.2,-0.27,7.13,-0.12,70
588,4974,亞泰,71.9,2025,37.1,-15.5,5.88,-16.9,3.74,-29.2,15.8,-0.27,10.1,-1.95,5.16,-2.13,11.2,-5.3,8.55,-3.86,57
589,1225,福懋油,33.95,2025,121,-6.25,11.7,+5.09,3.93,+14.4,9.72,+1.05,3.91,+0.86,1.62,+0.12,11.2,+1.29,5.18,+0.99,43
590,8931,大汽電,42.4,2025,24.7,-1.74,4.13,-25,2.29,-19.4,16.7,-5.19,9.24,-2.03,1.87,-0.45,11.2,-2.22,4.55,-1.43,43
591,1708,東鹼,39.3,2025,61.6,-3.29,19.6,-7.03,8.18,-13.8,31.9,-1.28,13.3,-1.62,3.28,-0.53,11.2,-2.76,6.24,-0.84,60
592,3577,泓格,80.7,2025,11.7,+9.44,6.3,+11.5,1.52,+46.3,53.7,+0.97,13,+3.26,2.37,+0.75,11.2,+3.21,9.24,+2.98,64
593,2885,元大金,51.2,2025,"1,284",+6.4,,,365,+1.93,,,30.7,-1.09,2.74,-0.03,11.2,-0.71,0.98,-0.11,67
594,2347,聯強,84,2025,"4,112",-3.49,175,-6.13,84.7,-8.09,4.26,-0.12,2.21,-0.12,5.08,-0.44,11.1,-1.71,4.11,-0.41,36
595,2643,捷迅,68.1,2025,84,+59.7,6.24,+26.6,2.21,+3.15,7.43,-1.95,2.63,-1.44,6.3,+0.19,11.1,-0.05,7.46,+0.19,41
596,6175,立敦,65.6,2025,41.7,-1.38,9.77,-3.79,4.01,-14.6,23.4,-0.59,12.9,-1.32,2.68,-0.55,11.1,-3.1,8.41,-1.42,62
597,3537,堡達,45.4,2025,29.2,+3.51,4.14,+0.07,1.41,-31.7,14.2,-0.49,4.83,-2.49,2.51,-1.16,11.1,-5.98,7.05,-3.17,47
598,1307,三芳,31.5,2025,108,+0.33,34.2,+3.74,11.3,-23.5,31.6,+1.04,10.5,-3.25,2.85,-0.87,11.1,-4.26,6.51,-2.46,57
599,3042,晶技,166.5,2025,133,+5.34,44.1,-1.72,18,-15.6,33,-2.37,13.5,-3.34,5.28,-1.27,11.1,-3.98,8.2,-2.22,64
600,3551,世禾,209.5,2025,29.9,+16.2,10.8,+14.8,4.79,+28.5,36,-0.43,16,+1.53,8.36,+1.73,11,+0.81,8.74,+1.01,64
601,6215,和椿,108.5,2025,25,+50.1,6.21,+29.6,1.72,-1.61,24.9,-3.95,6.89,-3.62,2.08,-0.03,11,-0.47,7.12,-1.55,45
602,6509,聚和,43.95,2025,48.8,+2.77,15.8,+8.75,5.67,+15.8,32.3,+1.78,11.6,+1.31,2.87,+0.16,11,-0.14,7.47,+0.16,62
603,2348,海悅,76.7,2025,73.5,-27.6,26.5,-29.3,10.9,-51.2,36,-0.85,15.8,-7.7,6.85,-7.58,11,-14.2,2.56,-3.99,47
604,9933,中鼎,36.4,2025,918,-23.4,93.8,+42.1,16.9,-12.9,10.2,+4.71,3,+0.55,1.91,-0.52,11,-1.38,2.08,-0.41,45
605,5474,聰泰,144.5,2025,14.7,+22.9,6.02,-1.55,2.18,-23.3,41,-10.2,14.9,-8.95,5.49,-1.66,11,-4.14,9.07,-3.32,64
606,5871,中租-KY,120,2025,976,-4.62,643,-5.46,198,-12.3,65.9,-0.58,21.3,-1.59,11.24,-2.07,11,-2.53,2.12,-0.31,45
607,8415,大國鋼,33.7,2025,232,+2.29,85.7,+13.8,31.3,+37.2,36.9,+3.74,13.4,+3.3,3.05,+0.83,11,+2.76,7.06,+2.03,51
608,2303,聯電,76.9,2025,"2,376",+2.26,689,-8.92,417,-11.6,29,-3.56,17.5,-2.79,3.34,-0.46,11,-1.81,7.23,-1.11,64
609,2433,互盛電,45.95,2025,27.2,-1.49,9.78,-0.14,4.4,-7.01,36,+0.48,16.9,-0.91,3.05,-0.23,10.9,-0.2,6.23,-0.28,60
610,3706,神達,84.1,2025,"1,056",+72.1,120,+62.6,68.4,+72.7,11.3,-0.66,6.73,+0.26,5.15,+1.87,10.9,+4.4,5.78,+1.88,43
611,2243,宏旭-KY,22.15,2025,17.4,-9.02,2.5,+51.6,0.85,+406,14.4,+5.76,4.86,+3.99,1.22,+0.98,10.9,+8.55,2.56,+2.04,34
